Time  1 - default sample rate;Load;Displacement;AccelerometerX;0 Degrees Transvers on Axle;Rosett +45 Degrees Along Axle;Rosett  90 Degrees Along Axle;Rosett  -45 Degrees Along Axle;Radius +45 Degrees Along Axle;MX840A_0 hardware time default sample rate                      
0,603333362;-4,728391647;-0,001929427;0,130277723;-0,408835351;-0,650296807;-4,546938419;-7,44122839;0,137126356;948333419,3
0,606666695;-4,781626225;-0,001573523;0,048822708;-0,299435765;-0,505924106;-5,247320175;-6,647626877;0,137126356;948333419,3
0,610000029;-4,744866371;-0,001655881;0,099882536;-0,076568663;-0,407628506;-3,328397989;-5,733968735;0,137126356;948333419,3
0,613333362;-4,621171951;-0,001533703;0,121155366;-0,094097346;-0,483778715;-7,618579865;-5,419275761;0,137126356;948333419,3
0,616666696;-4,709853172;-0,001741971;0,16696988;-0,079111308;-0,565713465;0,206530318;-5,138457298;0,137126356;948333419,3
0,620000029;-4,735189438;-0,001345392;0,038438376;-0,361754566;-0,342681527;1,50138855;-4,754395008;0,137126356;948333419,3
0,623333363;-4,659446239;-0,001767501;0,118562169;-0,525240898;-0,168152303;-3,208091974;-4,789049625;0,137126356;948333419,3
0,626666696;-4,684226036;-0,002035864;0,206935018;-0,159946695;-0,539572179;-3,925699711;-4,458549976;0,137126356;948333419,3
0,63000003;-4,843343735;-0,001816611;0,278821975;0,002410602;-0,297112823;-1,711630702;-4,798588753;0,137126356;948333419,3
0,633333363;-4,598459244;-0,002256496;0,156520247;-0,300097793;-0,439595282;1,249663234;-5,459025383;0,137126356;948333419,3
0,636666697;-4,710449696;-0,001753579;0,016872555;-0,185228199;-0,220396727;-0,538498282;-5,782189846;0,137126356;948333419,3
0,64000003;-4,737315655;-0,001192454;0,067912966;-0,066636898;-0,036916822;-1,837970018;-6,639644146;0,137126356;948333419,3
0,643333364;-4,673323631;-0,001787826;0,14049606;-0,154780135;-0,291970313;2,322296381;-6,577527046;0,137126356;948333419,3
0,646666697;-4,644159794;-0,002028607;0,202596962;-0,357110798;-0,495895863;3,83826232;-5,738670826;0,137126356;948333419,3
0,650000031;-4,801408291;-0,002156128;0,063583501;-0,159750581;-0,625162601;-1,11476481;-4,774866581;0,137126356;948333419,3
0,653333364;-4,671689034;-0,002109763;-0,044325419;-0,123281464;-0,753796637;-1,553967953;-4,345383167;0,137126356;948333419,3
0,656666698;-4,500052452;-0,001769274;-0,044200242;-0,119199559;-0,349625945;-1,035657287;-4,695628166;0,137126356;948333419,3
0,660000031;-4,668663502;-0,001763598;-0,080775924;-0,037887715;-0,696528018;-4,505653381;-4,160881996;0,137126356;948333419,3
0,663333365;-4,816235542;-0,001983614;-0,109347269;-0,179763198;-0,299834609;-5,083255768;-3,932075262;0,137126356;948333419,3
0,666666698;-4,663230419;-0,001585113;-0,004743031;0,005486662;-0,130107149;-0,896426976;-3,918557167;0,137126356;948333419,3
